0,0.78778,0.35298,0.43142,0.21561,0.22725
0,0.83634,0.30658,0.42726,0.26616,0.29152
0,0.72717,0.35285,0.42375,0.22341,0.22565
0,0.86339,0.33826,0.42523,0.23651,0.24347
0,0.85368,0.41242,0.45769,0.12989,0.18968
0,0.7883,0.38219,0.44598,0.17183,0.20544
0,0.74492,0.37476,0.44699,0.17825,0.21147
0,0.7043,0.4091,0.45423,0.13667,0.19035
0,0.86153,0.36242,0.43079,0.20679,0.21754
0,0.733,0.35222,0.42357,0.2242,0.22631
0,0.77725,0.36906,0.42588,0.20506,0.20955
0,0.90887,0.38378,0.41644,0.19978,0.19179
0,0.76901,0.30293,0.48407,0.213,0.27804
0,0.86153,0.36242,0.43079,0.20679,0.21754
0,0.83938,0.30662,0.4272,0.26618,0.29148
1,0.69302,0.49816,0.3845,0.11734,0.11693
1,0.87131,0.45385,0.37095,0.1752,0.11708
1,0.8537,0.45387,0.39337,0.15276,0.13318
1,0.81585,0.57703,0.36919,0.053778,0.10046
1,0.7586,0.43627,0.37486,0.18887,0.1253
1,0.77213,0.45524,0.37121,0.17355,0.11695
1,0.64374,0.42375,0.38005,0.1962,0.13466
1,0.78495,0.49549,0.39954,0.10497,0.12572
1,0.81458,0.46859,0.35934,0.17207,0.10526
1,0.85386,0.51205,0.44828,0.039667,0.14417
1,0.70907,0.60285,0.37724,0.01991,0.10216
1,0.78643,0.54844,0.39416,0.057392,0.1143
1,0.72287,0.48604,0.42417,0.089793,0.14064
1,0.88766,0.51545,0.34066,0.14389,0.088263
1,0.85937,0.53346,0.43293,0.03361,0.13315
